,Unnamed: 0,artist,city,venue,showName,genre,weekend,month,maxprice,minprice,id,score,pop
0,The Weeknd0,The Weeknd,México,Foro Sol,The Weeknd Grada,Hip-Hop/Rap,0,9,2611.0,511.0,G5v8Z9pBt_3TE,95,8855000.0
1,The Weeknd1,The Weeknd,México,Foro Sol,The Weeknd Grada,Hip-Hop/Rap,1,9,2661.0,561.0,G5v8Z9brANZPT,95,8855000.0
2,The Weeknd3,The Weeknd,Manchester,Etihad Stadium,The Weeknd: After Hours til Dawn Tour,Hip-Hop/Rap,1,6,374.6,46.6,G5vHZ99JlC3wp,95,2753.0
3,The Weeknd4,The Weeknd,Dublin,Marlay Park,The Weeknd: After Hours til Dawn Tour,Hip-Hop/Rap,0,6,111.0,91.0,G5vOZ99LbwIan,95,1024027.0
4,The Weeknd7,The Weeknd,México,Foro Sol,"The Weeknd General A, General B y discap",Hip-Hop/Rap,0,9,2011.0,1111.0,G5v8Z9pRuHbO_,95,8855000.0
5,The Weeknd8,The Weeknd,México,Foro Sol,"The Weeknd General A, General B y discap",Hip-Hop/Rap,1,9,2061.0,1161.0,G5v8Z9brSwNuu,95,8855000.0
6,The Weeknd10,The Weeknd,Amsterdam,Johan Cruijff ArenA,The Weeknd: After Hours til Dawn Tour,Hip-Hop/Rap,0,6,270.0,46.09,Z698xZbpZ1716-4,95,741636.0
7,The Weeknd11,The Weeknd,Amsterdam,Johan Cruijff ArenA,The Weeknd: After Hours til Dawn Tour,Hip-Hop/Rap,1,6,284.26,51.62,Z698xZbpZ17ay_s,95,741636.0
8,The Weeknd14,The Weeknd,Brussels,King Baudouin Stadium,The Weeknd: After Hours til Dawn Tour,Rock,0,7,243.23,131.66,Z698xZG2ZaGZK,95,1110.0
9,The Weeknd15,The Weeknd,Brussels,King Baudouin Stadium,The Weeknd: After Hours til Dawn Tour,Rock,0,7,189.0,44.0,Z698xZG2Zau3v,95,1110.0
10,The Weeknd17,The Weeknd,Madrid,Estadio Cívitas Metropolitano,The Weeknd: After Hours til Dawn Tour,Rock,0,7,333.1,63.6,Z698xZ2qZaFFR,95,3255944.0
11,The Weeknd18,The Weeknd,Barcelona,Estadi Olímpic Lluis Companys,The Weeknd: After Hours til Dawn Tour,Rock,0,7,328.1,69.1,Z698xZ2qZaFFA,95,3258.0
12,Taylor Swift0,Taylor Swift,Atlanta,Mercedes-Benz Stadium,Taylor Swift | The Eras Tour,Pop,1,4,571.0,109.0,vvG1zZ94XffJmL,100,5605.0
